# Time-averaged data for fix myat3
# TimeStep v_mydensity
85700 0.00574874
85800 0.00575708
85900 0.0057657
86000 0.00577434
86100 0.00578264
86200 0.00579037
86300 0.00579762
86400 0.00580448
86500 0.0058109
86600 0.00581698
86700 0.00582291
86800 0.00582862
86900 0.00583417
87000 0.00583974
87100 0.00584538
87200 0.00585102
87300 0.00585673
87400 0.00586257
87500 0.00586851
87600 0.00587448
87700 0.00588054
87800 0.00588668
87900 0.00589274
88000 0.00589881
88100 0.00590511
88200 0.00591182
88300 0.0059188
88400 0.00592586
88500 0.00593289
88600 0.00593979
88700 0.00594639
88800 0.00595288
88900 0.00595936
89000 0.00596579
89100 0.00597201
89200 0.00597798
89300 0.00598385
89400 0.0059896
89500 0.00599499
89600 0.00599987
89700 0.0060043
89800 0.00600828
89900 0.00601184
90000 0.00601508
90100 0.00601827
90200 0.00602151
90300 0.00602475
90400 0.00602804
90500 0.0060315
90600 0.00603516
90700 0.00603906
90800 0.00604309
90900 0.00604703
91000 0.00605086
91100 0.00605463
91200 0.0060585
91300 0.00606264
91400 0.00606723
91500 0.00607234
91600 0.00607789
91700 0.00608366
91800 0.00608945
91900 0.00609511
92000 0.00610056
92100 0.00610574
92200 0.00611046
92300 0.00611464
92400 0.00611833
92500 0.00612147
92600 0.00612386
92700 0.00612541
92800 0.00612633
92900 0.00612687
93000 0.00612718
93100 0.00612737
93200 0.00612746
93300 0.00612729
93400 0.00612686
93500 0.00612645
93600 0.00612638
93700 0.00612656
93800 0.00612687
93900 0.0061273
94000 0.00612794
94100 0.00612874
94200 0.0061296
94300 0.00613048
94400 0.00613153
94500 0.00613289
94600 0.00613459
94700 0.00613652
94800 0.00613847
94900 0.00614022
95000 0.0061417
95100 0.00614306
95200 0.00614451
95300 0.00614604
95400 0.00614741
95500 0.00614869
95600 0.0061501
95700 0.00615175
95800 0.00615366
95900 0.006156
96000 0.00615886
96100 0.006162
96200 0.00616521
96300 0.00616847
96400 0.00617171
96500 0.00617466
96600 0.00617707
96700 0.00617899
96800 0.00618063
96900 0.00618212
97000 0.00618355
97100 0.00618505
97200 0.00618666
97300 0.00618848
97400 0.00619052
97500 0.00619264
97600 0.00619466
97700 0.00619652
97800 0.00619817
97900 0.0061997
98000 0.00620113
98100 0.00620253
98200 0.00620406
98300 0.00620575
98400 0.00620766
98500 0.00620982
98600 0.00621229
98700 0.00621514
98800 0.00621859
98900 0.00622276
99000 0.00622755
99100 0.00623268
99200 0.00623816
99300 0.00624402
99400 0.00625018
99500 0.00625657
99600 0.00626324
99700 0.00627031
99800 0.00627775
99900 0.00628545
100000 0.00629334
100100 0.00630136
100200 0.00630938
100300 0.00631743
100400 0.00632556
100500 0.0063339
100600 0.00634246
100700 0.00635108
100800 0.00635959
100900 0.00636786
101000 0.00637578
101100 0.00638312
101200 0.0063898
101300 0.00639587
101400 0.00640155
101500 0.00640719
101600 0.00641299
101700 0.00641908
101800 0.00642535
101900 0.00643161
102000 0.00643773
102100 0.00644374
102200 0.00644937
102300 0.00645438
102400 0.00645879
102500 0.00646269
102600 0.00646618
102700 0.00646938
102800 0.00647246
102900 0.0064757
103000 0.00647938
