# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy v_pressure
6350 0.979513 -0.963091 0.848262
6360 0.960128 -0.964086 0.833774
6370 0.974442 -0.965372 0.849578
6380 0.985204 -0.956684 0.89479
6390 0.989426 -0.967435 0.84562
6400 0.962463 -0.963159 0.826052
6410 0.975537 -0.96826 0.815517
6420 0.985646 -0.96473 0.819796
6430 0.998378 -0.959004 0.850919
6440 0.969377 -0.948315 0.892981
6450 1.00306 -0.957297 0.888973
6460 1.02409 -0.963173 0.875247
6470 1.00125 -0.95529 0.899031
6480 0.997818 -0.957679 0.883082
6490 1.01589 -0.965766 0.872671
6500 1.00533 -0.978259 0.835076
6510 0.996953 -0.978342 0.834539
6520 1.01422 -0.973493 0.868092
6530 0.996934 -0.96494 0.875863
6540 1.00926 -0.978076 0.823178
6550 0.996946 -0.997162 0.741726
6560 0.99823 -0.982485 0.785821
6570 0.985606 -0.978911 0.776527
6580 0.991563 -0.974205 0.800584
6590 0.963244 -0.967316 0.802519
6600 1.02247 -0.973814 0.813533
6610 1.01215 -0.968741 0.858398
6620 0.966319 -0.971 0.826218
6630 1.01313 -0.976045 0.807121
6640 1.01584 -0.986591 0.766518
6650 1.02403 -0.981702 0.794002
6660 1.02065 -0.980784 0.795003
6670 1.01172 -0.964768 0.857096
6680 1.01448 -0.964535 0.859526
6690 0.98905 -0.968924 0.844301
6700 0.988323 -0.954926 0.907498
6710 0.995839 -0.95597 0.920453
6720 0.985171 -0.955537 0.925916
6730 1.0006 -0.95562 0.928897
6740 1.00995 -0.955392 0.951812
6750 0.99087 -0.935526 1.01859
6760 1.02129 -0.942037 1.01356
6770 1.02488 -0.940618 1.02502
6780 1.03339 -0.935363 1.03998
6790 0.994848 -0.946348 0.978385
6800 1.01108 -0.955266 0.915535
6810 1.01323 -0.979301 0.816414
6820 1.00506 -0.980536 0.815977
6830 0.990043 -0.97181 0.850054
6840 0.981014 -0.975759 0.849369
6850 1.00532 -0.9963 0.789068
6860 1.01672 -0.989906 0.812006
6870 1.01918 -0.974885 0.884885
6880 1.02779 -0.96764 0.899606
6890 1.00311 -0.97143 0.86288
6900 1.00215 -0.979736 0.820712
6910 1.02309 -0.985019 0.825361
6920 0.995266 -0.993264 0.786255
6930 0.99427 -0.991424 0.793521
6940 0.99534 -1.00458 0.74846
6950 0.978103 -0.980042 0.831085
6960 0.989458 -0.977348 0.850715
6970 0.996578 -0.984937 0.824042
6980 1.0061 -0.987668 0.813101
6990 0.983498 -0.986594 0.840015
7000 0.980402 -0.969092 0.905284
7010 0.992711 -0.986009 0.837879
7020 1.03492 -0.996265 0.816243
7030 1.01949 -0.985622 0.849261
7040 1.02583 -0.982696 0.852688
